"Name","Address","Sector","Stage","Website","City","latitude","longitude"
"Lightspeed Venture Partners","2200 Sand Hill Rd, Menlo Park, CA 94025","Enterprise, Consumer, Health","Seed, Series B, Series C","https://lsvp.com/","Menlo Park, CA","37.4248","-122.207"
"Khosla Ventures","2128 Sand Hill Rd, Menlo Park, CA 94025","AI, Climate, Health, Deep Tech","Seed, Series A, Series B, Series C","https://www.khoslaventures.com/","Menlo Park, CA","37.426","-122.206"
"Accel","500 University Ave, Palo Alto, CA 94301","Technology, Cloud, Security","Seed, Series A, Series B, Series C","https://www.accel.com/","Palo Alto, CA","37.4475","-122.16"
"Index Ventures","139 Townsend St, San Francisco, CA 94107","Gaming, Fintech, Enterprise","Seed, Series B, Series C","https://www.indexventures.com/","San Francisco, CA","37.7808","-122.394"
"New Enterprise Associates (NEA)","2855 Sand Hill Rd, Menlo Park, CA 94025","Technology, Healthcare","Seed, Series B, Series C","https://www.nea.com/","Menlo Park, CA","37.4172","-122.2135"
"Bessemer Venture Partners","100 Middlefield Rd, Menlo Park, CA 94025","Consumer, Enterprise, Healthcare","Seed, Series B, Series C","https://www.bvp.com/","Menlo Park, CA","37.452","-122.175"
"General Catalyst","20 University Rd, Cambridge, MA 02138","Consumer, Enterprise, Health","Seed, Series B, Series C","https://www.generalcatalyst.com/","Cambridge, MA","42.3725","-71.1215"
"Insight Partners","1114 Avenue of the Americas, New York, NY 10036","Software, Internet","Series A, Series B, Series C","https://www.insightpartners.com/","New York, NY","40.755","-73.984"
"First Round Capital","2 Harrison St, San Francisco, CA 94105","Consumer, Enterprise","Pre-Seed, Seed","https://firstround.com/","San Francisco, CA","37.7905","-122.392"
"Union Square Ventures","One Union Square West, New York, NY 10003","Climate, Crypto, Education, Health","Pre-Seed, Seed","https://www.usv.com/","New York, NY","40.7355","-73.991"
"Thrive Capital","295 Lafayette St, New York, NY 10012","Internet, Software","Seed, Series B, Series C","https://thrivecap.com/","New York, NY","40.7245","-73.996"
"Tiger Global Management","9 W 57th St, New York, NY 10019","Internet, Software, Fintech","Series B, Series C","https://www.tigerglobal.com/","New York, NY","40.7635","-73.9745"
"Coatue Management","9 W 57th St, New York, NY 10019","TMT, Consumer, Enterprise","Series B, Series C","https://www.coatue.com/","New York, NY","40.7635","-73.9745"
"Spark Capital","1388 Sutter St, San Francisco, CA 94109","Consumer, Commerce, Fintech","Seed, Series B, Series C","https://sparkcapital.com/","San Francisco, CA","37.788","-122.423"
"IVP (Institutional Venture Partners)","3000 Sand Hill Rd, Menlo Park, CA 94025","Enterprise, Consumer","Series B, Series C","https://www.ivp.com/","Menlo Park, CA","37.414","-122.215"
"Redpoint Ventures","3000 Sand Hill Rd, Menlo Park, CA 94025","Enterprise, Consumer","Pre-Seed, Seed, Series B, Series C","https://www.redpoint.com/","Menlo Park, CA","37.414","-122.215"
"GGV Capital","3000 Sand Hill Rd, Menlo Park, CA 94025","Social, E-commerce, Cloud","Seed, Series B, Series C","https://www.ggvc.com/","Menlo Park, CA","37.414","-122.215"
"Battery Ventures","One Marina Park Drive, Boston, MA 02210","B2B, Consumer, Tech","Seed","https://www.battery.com/","Boston, MA","42.353","-71.047"
"Canaan Partners","2765 Sand Hill Rd, Menlo Park, CA 94025","Fintech, Health, Enterprise","Pre-Seed, Seed","https://www.canaan.com/","Menlo Park, CA","37.418","-122.213"
"True Ventures","126 South Park St, San Francisco, CA 94107","Hardware, Infra, Consumer","Pre-Seed, Seed","https://trueventures.com/","San Francisco, CA","37.7815","-122.3945"
"Lux Capital","160 Varick St, New York, NY 10013","Deep Tech, Health, Sci-Fi","Seed, Series B, Series C","https://www.luxcapital.com/","New York, NY","40.7265","-74.0055"
"Menlo Ventures","2884 Sand Hill Rd, Menlo Park, CA 94025","Consumer, Enterprise, Health","Seed, Series B, Series C","https://www.menlov.com/","Menlo Park, CA","37.417","-122.214"
"CRV (Charles River Ventures)","149 Commonwealth Ave, Menlo Park, CA 94025","Enterprise, Consumer, Bio","Pre-Seed, Seed","https://www.crv.com/","Menlo Park, CA","37.453","-122.182"
"DCM Ventures","2420 Sand Hill Rd, Menlo Park, CA 94025","Mobile, Consumer, Internet","Seed, Series B, Series C","https://www.dcm.com/","Menlo Park, CA","37.423","-122.208"
"Norwest Venture Partners","525 University Ave, Palo Alto, CA 94301","Enterprise, Consumer, Health","Seed, Series B, Series C","https://www.nvp.com/","Palo Alto, CA","37.448","-122.159"
"Foundation Capital","550 High St, Palo Alto, CA 94301","Fintech, Enterprise, Consumer","Pre-Seed, Seed","https://foundationcapital.com/","Palo Alto, CA","37.445","-122.161"
"Mayfield Fund","2484 Sand Hill Rd, Menlo Park, CA 94025","Enterprise, Consumer, Deep Tech","Seed, Series A","https://www.mayfield.com/","Menlo Park, CA","37.422","-122.21"
"Social Capital","120 Hawthorne St, San Francisco, CA 94107","Tech, Climate, Life Sciences","Seed, Series B, Series C","https://www.socialcapital.com/","San Francisco, CA","37.785","-122.3965"
